meter id,ResStock_ids,cvrmses,cvrmses_month,percent_errs_cooling,percent_errs_heating,peak_htg_hr_diffs,peak_clg_hr_diffs,costs
6000990703,[69878],[0.726723647565543],[0.39304004335282056],[0.05264195278241161],[0.05817047506548009],[4.0],[7.0],[0.009400384461585656]
6000991113,[69878],[0.6203863187893509],[0.1442492774486161],[0.04765915805971708],[0.081596178446402],[4.0],[9.0],[0.0036728084460718033]
6000991128,[],[],[],[],[],[],[],[]
6000991168,[205226],[1.1760205576056668],[0.25909575357760606],[0.04769528170118472],[0.02506650350274821],[3.0],[3.0],[0.0030215797603750896]
6000991180,[249325],[0.7614070640540074],[0.17662162661670577],[0.01923560861169984],[0.2695226430052985],[2.0],[2.0],[0.0011388981561453054]
6000991186,[23173],[0.7526671399056282],[0.21509538527549393],[0.160016026661781],[0.3374136912081214],[2.0],[3.0],[0.004251451752164376]
6000991207,[304172],[0.955790230323042],[0.14302130581290634],[0.1716012397464664],[0.15964593850156386],[1.0],[0.0],[0.0026384686520549115]
6000991236,[324321],[0.599208567151266],[0.10630435308840298],[0.006189684877695752],[0.05181220346829039],[11.0],[12.0],[0.0008835125093458133]
6000991310,[],[],[],[],[],[],[],[]
6000991335,[69878],[0.7056355807846679],[0.19410232178593906],[0.024250670251945102],[0.014353544698404993],[3.0],[8.0],[0.0068639120381242735]
6000991344,[337740],[1.2050994878937364],[0.22149090991033926],[0.012513110623487575],[0.058846696470217945],[2.0],[2.0],[0.00554164180276295]
6000991354,[],[],[],[],[],[],[],[]
6000991364,[45364],[0.8185820665004583],[0.5690887570719222],[0.26282297599007776],[0.04490786685811186],[2.0],[12.0],[0.014514430067181958]
6000991403,[],[],[],[],[],[],[],[]
6000991420,[324321],[0.5062996785807916],[0.19966720904117866],[0.10357055853836572],[0.0038647090299535856],[6.0],[6.0],[0.003138967019878635]
6000991464,[],[],[],[],[],[],[],[]
6000991477,[279322],[0.752945738214637],[0.24409385360391944],[0.27071236689989214],[0.17462194277377607],[2.0],[1.0],[0.008744626073215215]
6000991786,[218118],[1.090453099963957],[0.3034686932648915],[0.07668880198943345],[0.4006946143981515],[3.0],[0.0],[0.00689638151917441]
6000991803,[110442],[0.837098055290854],[0.1395848829653983],[0.0452250424353687],[0.07202860208237676],[1.0],[11.0],[0.003944317814113706]
6000991821,[277866],[0.6136200014002995],[0.1400188747313991],[0.037994722599814054],[0.06247766653551705],[1.0],[2.0],[0.000261833399976478]
6000991840,[200729],[0.8693047753036405],[0.26947696009610667],[0.03359208361127831],[0.008264992231103578],[7.0],[2.0],[0.00269284175437977]
6000991872,[23173],[0.850377319319366],[0.1865251595082732],[0.04840801714888453],[0.9689679251127552],[0.0],[5.0],[0.00501142708859038]
6000991887,[439301],[0.8741072963083198],[0.20971237993054645],[0.03375172423403417],[0.12531356454790388],[1.0],[3.0],[0.0048281817887515155]
6000991933,[],[],[],[],[],[],[],[]
6000991965,[324321],[0.6118546854991653],[0.15164463633952335],[0.059165013260566494],[0.03253076538912223],[1.0],[0.0],[0.0018918614224379396]
6000991972,[],[],[],[],[],[],[],[]
6000992001,[515178],[0.7778563241631153],[0.19727490165061842],[0.21042799417485183],[0.07884934467289287],[12.0],[4.0],[0.004424112005745054]
6000992877,[301762],[1.0716944718271055],[0.12784369133810225],[0.05149191893078718],[0.09412768843650327],[7.0],[8.0],[0.007945988933284178]
